CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
34001000100,New Jersey,Atlantic County,1,2417,857,0,0.0,0.0,0,1,0,0,0,1,40.1,35859.0,0,1,0,1,0,0,0,0,,581.0,,,359.0,,581.0,24.04,359.0,14.87,205.0,8.47,39.0,1.6,129.0,5.33,349.0,14.45,28.0,1.16,0.0,0.0,0.0,0.0,75.0,3.11,159.0,6.6,63.0,7.39,49.0,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.0,709.0,198.0,1147.0,508.0,299.0,0.0,13.0,450.0,996.0,202.0,188.0
34001000200,New Jersey,Atlantic County,1,3202,1275,0,0.0,0.0,0,0,0,0,0,1,23.3,71341.0,0,0,0,0,0,0,0,0,,336.0,,,138.0,,336.0,10.49,138.0,4.31,27.0,0.84,164.0,5.12,299.0,9.32,14.0,0.43,13.0,0.4,0.0,0.0,1.0,0.03,10.0,0.3,17.0,0.53,24.0,1.9,18.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.0,604.0,585.0,1674.0,146.0,740.0,2.0,15.0,625.0,1011.0,335.0,118.0
34001000300,New Jersey,Atlantic County,1,4373,1411,0,0.0,0.0,0,0,0,0,0,1,30.2,34235.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655.0,1136.0,276.0,1354.0,345.0,1179.0,1.0,22.0,1472.0,2275.0,466.0,340.0
34001000400,New Jersey,Atlantic County,1,2606,1186,0,16.0,0.61,0,0,0,0,0,1,33.3,33897.0,0,0,0,0,0,0,0,0,,46.0,,,25.0,,46.0,1.76,25.0,0.96,6.0,0.23,9.0,0.34,26.0,0.99,5.0,0.2,7.0,0.25,0.0,0.0,0.0,0.0,8.0,0.32,14.0,0.53,14.0,1.16,7.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.0,421.0,414.0,1032.0,247.0,688.0,2.0,8.0,629.0,875.0,523.0,362.0
34001000500,New Jersey,Atlantic County,1,3503,929,0,0.0,0.0,0,0,0,0,0,1,36.5,38355.0,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.0,1042.0,214.0,731.0,161.0,1274.0,0.0,31.0,1306.0,1703.0,281.0,172.0
34001001100,New Jersey,Atlantic County,1,2027,942,0,0.0,0.0,0,0,0,0,0,1,52.1,27969.0,0,0,0,0,0,0,0,0,,284.0,,,246.0,,284.0,14.03,246.0,12.13,124.0,6.1,11.0,0.52,13.0,0.66,259.0,12.77,2.0,0.1,0.0,0.0,2.0,0.1,8.0,0.41,7.0,0.34,85.0,9.01,56.0,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.0,567.0,274.0,154.0,1672.0,41.0,8.0,11.0,141.0,237.0,582.0,473.0
34001001200,New Jersey,Atlantic County,1,3174,1199,0,208.0,6.55,0,1,0,1,1,1,39.2,33304.0,0,1,0,1,0,0,0,1,266.0,2810.0,266.0,95.0,1868.0,95.0,2810.0,88.52,1868.0,58.85,702.0,22.13,402.0,12.66,246.0,7.74,2206.0,69.51,86.0,2.7,2.0,0.05,21.0,0.66,250.0,7.86,400.0,12.61,270.0,22.5,312.0,26.0,266.0,8.37,95.0,2.98,65.0,2.06,43.0,1.35,14.0,0.45,196.0,6.17,30.0,0.94,0.0,0.0,0.0,0.0,26.0,0.82,31.0,0.98,4.0,0.3,27.0,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.0,807.0,433.0,309.0,2463.0,95.0,2.0,26.0,279.0,482.0,328.0,368.0
34001001300,New Jersey,Atlantic County,1,1984,791,0,11.0,0.55,1,1,1,1,1,1,26.7,38355.0,1,1,1,1,1,0,0,1,1883.0,1984.0,1883.0,1154.0,1215.0,1154.0,1984.0,100.0,1215.0,61.23,485.0,24.45,284.0,14.31,273.0,13.76,1518.0,76.51,34.0,1.71,0.0,0.0,6.0,0.3,153.0,7.71,216.0,10.89,215.0,27.21,159.0,20.15,1883.0,94.91,1154.0,58.18,469.0,23.62,268.0,13.52,251.0,12.66,1447.0,72.93,34.0,1.71,0.0,0.0,5.0,0.25,146.0,7.35,209.0,10.53,202.0,25.57,150.0,18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.0,485.0,284.0,273.0,1518.0,34.0,0.0,6.0,153.0,216.0,187.0,138.0
34001001400,New Jersey,Atlantic County,1,3623,1383,0,5.0,0.14,0,1,0,1,1,1,61.4,18580.0,0,1,0,1,0,0,0,1,148.0,3623.0,148.0,123.0,2676.0,123.0,3623.0,100.0,2676.0,73.87,1320.0,36.43,300.0,8.28,438.0,12.09,2728.0,75.3,53.0,1.46,0.0,0.0,23.0,0.63,381.0,10.52,795.0,21.94,628.0,45.44,561.0,40.6,148.0,4.08,123.0,3.39,50.0,1.39,7.0,0.2,40.0,1.11,85.0,2.36,0.0,0.0,0.0,0.0,1.0,0.02,22.0,0.6,46.0,1.26,23.0,1.69,20.0,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.0,1320.0,300.0,438.0,2728.0,53.0,0.0,23.0,381.0,795.0,642.0,585.0
34001001500,New Jersey,Atlantic County,1,1438,748,0,18.0,1.25,0,1,0,1,1,1,37.3,,0,1,0,1,0,0,0,1,,938.0,,,759.0,,938.0,65.24,759.0,52.77,267.0,18.57,121.0,8.44,90.0,6.24,757.0,52.63,40.0,2.79,0.0,0.0,0.0,0.0,52.0,3.58,106.0,7.39,242.0,32.33,257.0,34.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.0,299.0,374.0,210.0,1048.0,66.0,0.0,1.0,113.0,211.0,465.0,517.0
